word,phonetic,meaning,example,category
hello,/həˈloʊ/,你好,Hello world!,greeting
world,/wɜːrld/,世界,The world is beautiful,noun
computer,/kəmˈpjuːtər/,计算机,I use a computer every day,technology
beautiful,/ˈbjuːtɪfl/,美丽的,She has beautiful eyes,adjective
important,/ɪmˈpɔːrtnt/,重要的,This is very important,adjective
excellent,/ˈeksələnt/,优秀的,Your work is excellent,adjective
interesting,/ˈɪntrəstɪŋ/,有趣的,This book is very interesting,adjective
different,/ˈdɪfrənt/,不同的,We have different opinions,adjective
education,/ˌedʒuˈkeɪʃn/,教育,Education is important for everyone,noun
knowledge,/ˈnɑːlɪdʒ/,知识,Knowledge is power,noun
experience,/ɪkˈspɪriəns/,经验,I have five years of experience,noun
opportunity,/ˌɑːpərˈtuːnəti/,机会,This is a great opportunity,noun
understand,/ˌʌndərˈstænd/,理解,I understand your problem,verb
remember,/rɪˈmembər/,记住,Please remember to call me,verb
improve,/ɪmˈpruːv/,改善,We need to improve our service,verb
